title,description,species,tissue,platform,externalLink,bilCode
MERFISH Imaging of mesocorticolimbic regions in the mouse brain (infected with EcoHIV virus; icv),"This dataset is generated by MERFISH (Multiplexed Error-Robust Fluorescence In Situ Hybridization) experiments with a 300 gene panel on whole brain coronal sections covering major mesocorticolimbic areas (e.g. PFC, ventral STR, TH, etc). Briefly, after classifying transcriptomic cell types from the MERFISH expression of cell type marker genes among 300 genes, we identified cell types showing differential expressions of Eco-HIV infection-related genes in brain regions of interest.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dip-vat,ace-dip-vat
MERFISH Imaging of mesocorticolimbic regions in the mouse brain (infected with EcoHIV virus; systemic),"This dataset is generated by MERFISH (Multiplexed Error-Robust Fluorescence In Situ Hybridization) experiments with a 300 gene panel on whole brain coronal sections covering major mesocorticolimbic areas (e.g. PFC, ventral STR, TH, etc). Briefly, after classifying transcriptomic cell types from the MERFISH expression of cell type marker genes among 300 genes, we identified cell types showing differential expressions of Eco-HIV infection-related genes in brain regions of interest.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dip-van,ace-dip-van
MERFISH Imaging of mesocorticolimbic regions in the mouse brain (infected with control virus; systemic),"This dataset is generated by MERFISH (Multiplexed Error-Robust Fluorescence In Situ Hybridization) experiments with a 300 gene panel on whole brain coronal sections covering major mesocorticolimbic areas (e.g. PFC, ventral STR, TH, etc). Briefly, after classifying transcriptomic cell types from the MERFISH expression of cell type marker genes among 300 genes, we identified cell types showing differential expressions of Eco-HIV infection-related genes in brain regions of interest.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dip-use,ace-dip-use
MERFISH Imaging of mesocorticolimbic regions in the mouse brain (Chronic cocaine for 7 Days + 3 Days withdrawal),"This dataset is generated by MERFISH (Multiplexed Error-Robust Fluorescence In Situ Hybridization) experiments with a 300 gene panel on whole brain coronal sections covering major mesocorticolimbic areas (e.g. PFC, ventral STR, TH, etc). Briefly, after classifying transcriptomic cell types from the MERFISH expression of cell type marker genes among 300 genes, we identified cell types showing differential expressions of cocaine-related genes in brain regions of interest.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dip-tug,ace-dip-tug
MERFISH Imaging of mesocorticolimbic regions in the mouse brain (Chronic saline for 7 Days + 3 Days withdrawal),"This dataset is generated by MERFISH (Multiplexed Error-Robust Fluorescence In Situ Hybridization) experiments with a 300 gene panel on whole brain coronal sections covering major mesocorticolimbic areas (e.g. PFC, ventral STR, TH, etc). Briefly, after classifying transcriptomic cell types from the MERFISH expression of cell type marker genes among 300 genes, we identified cell types showing differential expressions of cocaine-related genes in brain regions of interest.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dip-tub,ace-dip-tub
VA00265 300-gene MERFISH results of a GW24 human prefrontal cortex,"This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human prefrontal cortex. To generate a spatiotemporal atlas of individual cell types and major neuronal lineages in the developing human cerebral cortex, we performed spatial transcriptomic analysis using MERFISH in the prefrontal cortex. These data allow precise quantification of molecularly defined cell types as well as mapping their spatial distributions in a tissue context.",Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-can-ink,ace-can-ink
VA00265 300-gene MERFISH results of a GW34 human prefrontal cortex,"This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human prefrontal cortex. To generate a spatiotemporal atlas of individual cell types and major neuronal lineages in the developing human cerebral cortex, we performed spatial transcriptomic analysis using MERFISH in the prefrontal cortex. These data allow precise quantification of molecularly defined cell types as well as mapping their spatial distributions in a tissue context.",Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-can-imp,ace-can-imp
VA00265 300-gene MERFISH results of a GW20 human prefrontal cortex,"This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human prefrontal cortex. To generate a spatiotemporal atlas of individual cell types and major neuronal lineages in the developing human cerebral cortex, we performed spatial transcriptomic analysis using MERFISH in the prefrontal cortex. These data allow precise quantification of molecularly defined cell types as well as mapping their spatial distributions in a tissue context.",Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-can-ill,ace-can-ill
VA00265 300-gene MERFISH results of a GW34 human visual cortex,This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human visual cortex.,Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dry-dry,ace-dry-dry
VA00265 300-gene MERFISH results of a GW24 human visual cortex,This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human visual cortex.,Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dry-dog,ace-dry-dog
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1 : 725724,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P20). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 14 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~7 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-jig-eel,ace-jig-eel
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~5 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-ear-dud,ace-ear-dud
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~5 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dug-fin,ace-dug-fin
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~5 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dug-fig,ace-dug-fig
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1,"Spatial transcriptomics atlas of the entire brain of an adult female mouse (P56). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~4 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dim-nut,ace-dim-nut
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 609889,"Spatial transcriptomics atlas of the entire brain of an adult male mouse (P56). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 100 µm. Individual cell were identified using cell segmentation algorithms to a total of ~5 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-den-fog,ace-den-fog
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 638850,"Spatial transcriptomics atlas of the entire brain of an adult female mouse (P56). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~4 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-den-fix,ace-den-fix
Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 609882,"Spatial transcriptomics atlas of the entire brain of an adult female mouse (P56). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 100 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6.5 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-den-fly,ace-den-fly
VA00265 300-gene MERFISH results of an infancy stage human visual cortex,This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human visual cortex.,Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dry-dub,ace-dry-dub
VA00265 300-gene MERFISH results of an infancy stage human prefrontal cortex,This dataset is part of a set of MERFISH experiments to identify the cell types and their locations in the developing human prefrontal cortex.,Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-dry-dip,ace-dry-dip
P20 Mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1 o - 669324,MERFISH imaging of 10 µm sections of C57BL/6J mouse brain that covers the entire brain. Individual sections are taken at 200 µm interval.,Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-den-hen,ace-den-hen
Perturb-FISH simultaneous CRISPR screening and spatial transcriptomics in astrocytes,"Pooled optical screens have enabled the study of cellular interactions, morphology, or dynamics at massive scale, but have not yet leveraged the power of highly-plexed single-cell resolved transcriptomic readouts to inform molecular pathways. Here, we present Perturb-FISH, which bridges these approaches by combining imaging spatial transcriptomics with parallel optical detection of in situ amplified guide RNAs. We show that Perturb-FISH recovers intracellular effects that are consistent with Perturb-seq results in a screen of lipopolysaccharide response in cultured monocytes, and uncover new intercellular and density-dependent regulation of the innate immune response. We further pair Perturb-FISH with a functional readout in a screen of autism spectrum disorder risk genes, showing common calcium activity phenotypes in induced pluripotent stem cell derived astrocytes and their associated genetic interactions and dysregulated molecular pathways. Perturb-FISH is thus a generally applicable method for studying the genetic and molecular associations of spatial and functional biology at single-cell resolution.",Human,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-gem-get,ace-gem-get
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400199,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cub,ace-low-cub
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400202,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cry,ace-low-cry
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400205,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cow,ace-low-cow
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400208,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cot,ace-low-cot
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400211,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cop,ace-low-cop
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400214,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cat,ace-low-cat
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400217,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-car,ace-low-car
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400220,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cap,ace-low-cap
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400223,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-can,ace-low-can
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400226,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-cab,ace-low-cab
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400230,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-bus,ace-low-bus
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400233,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-bun,ace-low-bun
Developing mouse whole-brain transcriptomic cell type atlas - MERSCOPE v1: 1296400236,"Spatial transcriptomics atlas of the entire brain of a developing mouse (P28). We profiled 500 genes which were selected to maximize our ability to relate each cell to one of the 5200 cell types defined in our RNAseq-based taxonomy. We image 10 µm section which were acquired at an interval of 200 µm. Individual cell were identified using cell segmentation algorithms to a total of ~6 million cells. The MERFISH datasets not only provide the possibility for accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",Mouse,Brain,MERFISH,https://api.brainimagelibrary.org/web/view?bildid=ace-low-bug,ace-low-bug
