# sample_name,input_path,species
ace-dip-tug,/bil/data/63/05/63053886eb9f9771/660403,mouse
ace-dip-use,/bil/data/63/05/63053886eb9f9771/660406,mouse
ace-dip-vat,/bil/data/63/05/63053886eb9f9771/660410,mouse
ace-dug-fin,/bil/data/4c/a5/4ca56ab12ee4ec99/658801,mouse
ace-low-bet,/bil/data/50/51/505118bf1edfb3e6/702265/1296400263/merfish_output/1296400263_SISSeg_mousedevmodel_20241007,mouse
ace-low-bid,/bil/data/50/51/505118bf1edfb3e6/702265/1296400260/merfish_output/1296400260_SISSeg_mousedevmodel_20241007,mouse
ace-low-big,/bil/data/50/51/505118bf1edfb3e6/702265/1296400257/merfish_output/1296400257_SISSeg_mousedevmodel_20241007,mouse
ace-low-bin,/bil/data/50/51/505118bf1edfb3e6/702265/1296400254/merfish_output/1296400254_SISSeg_mousedevmodel_20241008,mouse
ace-low-bit,/bil/data/50/51/505118bf1edfb3e6/702265/1296400251/merfish_output/1296400251_SISSeg_mousedevmodel_20241008,mouse
ace-low-bog,/bil/data/50/51/505118bf1edfb3e6/702265/1296400248/merfish_output/1296400248_SISSeg_mousedevmodel_20241008,mouse
ace-low-boo,/bil/data/50/51/505118bf1edfb3e6/702265/1296400245/merfish_output/1296400245_SISSeg_mousedevmodel_20241008,mouse
ace-low-box,/bil/data/50/51/505118bf1edfb3e6/702265/1296400242/merfish_output/1296400242_SISSeg_mousedevmodel_20241008,mouse
ace-low-bud,/bil/data/50/51/505118bf1edfb3e6/702265/1296400239/merfish_output/1296400239_SISSeg_mousedevmodel_20241008,mouse
ace-low-bug,/bil/data/50/51/505118bf1edfb3e6/702265/1296400236/merfish_output/1296400236_SISSeg_mousedevmodel_20241008,mouse
ace-low-bun,/bil/data/50/51/505118bf1edfb3e6/702265/1296400233/merfish_output/1296400233_SISSeg_mousedevmodel_20241009,mouse
ace-low-bus,/bil/data/50/51/505118bf1edfb3e6/702265/1296400230/merfish_output/1296400230_SISSeg_mousedevmodel_20241009,mouse
ace-low-cab,/bil/data/50/51/505118bf1edfb3e6/702265/1296400226/merfish_output/1296400226_SISSeg_mousedevmodel_20241009,mouse
ace-low-can,/bil/data/50/51/505118bf1edfb3e6/702265/1296400223/merfish_output/1296400223_SISSeg_mousedevmodel_20241009,mouse
ace-low-cap,/bil/data/50/51/505118bf1edfb3e6/702265/1296400220/merfish_output/1296400220_SISSeg_mousedevmodel_20241009,mouse
ace-low-car,/bil/data/50/51/505118bf1edfb3e6/702265/1296400217/merfish_output/1296400217_SISSeg_mousedevmodel_20241009,mouse
ace-low-cat,/bil/data/50/51/505118bf1edfb3e6/702265/1296400214/merfish_output/1296400214_SISSeg_mousedevmodel_20241009,mouse
ace-low-cop,/bil/data/50/51/505118bf1edfb3e6/702265/1296400211/merfish_output/1296400211_SISSeg_mousedevmodel_20241010,mouse
ace-low-cot,/bil/data/50/51/505118bf1edfb3e6/702265/1296400208/merfish_output/1296400208_SISSeg_mousedevmodel_20241010,mouse
ace-low-cow,/bil/data/50/51/505118bf1edfb3e6/702265/1296400205/merfish_output/1296400205_SISSeg_mousedevmodel_20241010,mouse
ace-low-cry,/bil/data/50/51/505118bf1edfb3e6/702265/1296400202/merfish_output/1296400202_SISSeg_mousedevmodel_20241010,mouse
ace-met-war,/bil/data/ee/2a/ee2a4a5a76a7e3ed/741564,mouse
ace-low-zip,/bil/data/50/51/505118bf1edfb3e6/702265/1296400337/merfish_output/1296400337_SISSeg_mousedevmodel_20241004,mouse
ace-dry-dip,/bil/data/f4/e6/f4e6e00f004c85ba/UCSF2018-003-MFG/,human
ace-dry-dog,/bil/data/f4/e6/f4e6e00f004c85ba/ARKFrozen-65-V1/,human
ace-dry-dry,/bil/data/f4/e6/f4e6e00f004c85ba/NIH-5900-BA17/,human
ace-dry-dub,/bil/data/f4/e6/f4e6e00f004c85ba/NIH-4392-BA17/,human
ace-low-cub,/bil/data/50/51/505118bf1edfb3e6/702265/1296400199/merfish_output/1296400199_SISSeg_mousedevmodel_20241010,mouse
ace-lot-all,/bil/data/50/51/505118bf1edfb3e6/702265/1296400340/merfish_output/1296400340_SISSeg_mousedevmodel_20241004,mouse
ace-lot-web,/bil/data/50/51/505118bf1edfb3e6/702265/1296400371/merfish_output/1296400371_SISSeg_mousedevmodel_20241006,mouse
ace-lot-wet,/bil/data/50/51/505118bf1edfb3e6/702265/1296400368/merfish_output/1296400368_SISSeg_mousedevmodel_20241006,mouse
ace-lot-who,/bil/data/50/51/505118bf1edfb3e6/702265/1296400365/merfish_output/1296400365_SISSeg_mousedevmodel_20241006,mouse
ace-lot-wig,/bil/data/50/51/505118bf1edfb3e6/702265/1296400362/merfish_output/1296400362_SISSeg_mousedevmodel_20241005,mouse
ace-lot-win,/bil/data/50/51/505118bf1edfb3e6/702265/1296400359/merfish_output/1296400359_SISSeg_mousedevmodel_20241006,mouse
ace-lot-wit,/bil/data/50/51/505118bf1edfb3e6/702265/1296400356/merfish_output/1296400356_SISSeg_mousedevmodel_20241005,mouse
ace-lot-yes,/bil/data/50/51/505118bf1edfb3e6/702265/1296400353/merfish_output/1296400353_SISSeg_mousedevmodel_20241005,mouse
ace-lot-yet,/bil/data/50/51/505118bf1edfb3e6/702265/1296400350/merfish_output/1296400350_SISSeg_mousedevmodel_20241005,mouse
ace-lot-zoo,/bil/data/50/51/505118bf1edfb3e6/702265/1296400343/merfish_output/1296400343_SISSeg_mousedevmodel_20241005,mouse
ace-low-ace,/bil/data/50/51/505118bf1edfb3e6/702265/1296400334/merfish_output/1296400334_SISSeg_mousedevmodel_20241004,mouse
ace-low-act,/bil/data/50/51/505118bf1edfb3e6/702265/1296400330/merfish_output/1296400330_SISSeg_mousedevmodel_20241004,mouse
ace-low-add,/bil/data/50/51/505118bf1edfb3e6/702265/1296400327/merfish_output/1296400327_SISSeg_mousedevmodel_20241004,mouse
ace-low-age,/bil/data/50/51/505118bf1edfb3e6/702265/1296400324/merfish_output/1296400324_SISSeg_mousedevmodel_20241004,mouse
ace-low-aim,/bil/data/50/51/505118bf1edfb3e6/702265/1296400318/merfish_output/1296400318_SISSeg_mousedevmodel_20241004,mouse
ace-low-air,/bil/data/50/51/505118bf1edfb3e6/702265/1296400315/merfish_output/1296400315_SISSeg_mousedevmodel_20241004,mouse
ace-low-and,/bil/data/50/51/505118bf1edfb3e6/702265/1296400312/merfish_output/1296400312_SISSeg_mousedevmodel_20241006,mouse
ace-low-ant,/bil/data/50/51/505118bf1edfb3e6/702265/1296400309/merfish_output/1296400309_SISSeg_mousedevmodel_20241006,mouse
ace-low-ape,/bil/data/50/51/505118bf1edfb3e6/702265/1296400306/merfish_output/1296400306_SISSeg_mousedevmodel_20241006,mouse
ace-low-arm,/bil/data/50/51/505118bf1edfb3e6/702265/1296400303/merfish_output/1296400303_SISSeg_mousedevmodel_20241006,mouse
ace-low-art,/bil/data/50/51/505118bf1edfb3e6/702265/1296400300/merfish_output/1296400300_SISSeg_mousedevmodel_20241006,mouse
ace-low-ash,/bil/data/50/51/505118bf1edfb3e6/702265/1296400297/merfish_output/1296400297_SISSeg_mousedevmodel_20241006,mouse
ace-low-ask,/bil/data/50/51/505118bf1edfb3e6/702265/1296400291/merfish_output/1296400291_SISSeg_mousedevmodel_20241006,mouse
ace-low-bad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400287/merfish_output/1296400287_SISSeg_mousedevmodel_20241006,mouse
ace-low-bag,/bil/data/50/51/505118bf1edfb3e6/702265/1296400284/merfish_output/1296400284_SISSeg_mousedevmodel_20241006,mouse
ace-low-ban,/bil/data/50/51/505118bf1edfb3e6/702265/1296400281/merfish_output/1296400281_SISSeg_mousedevmodel_20241006,mouse
ace-low-bar,/bil/data/50/51/505118bf1edfb3e6/702265/1296400275/merfish_output/1296400275_SISSeg_mousedevmodel_20241006,mouse
ace-low-bat,/bil/data/50/51/505118bf1edfb3e6/702265/1296400272/merfish_output/1296400272_SISSeg_mousedevmodel_20241007,mouse
ace-low-bay,/bil/data/50/51/505118bf1edfb3e6/702265/1296400269/merfish_output/1296400269_SISSeg_mousedevmodel_20241007,mouse
